grouping,run,native_program_id,native_program_name,n_cells,mean_score,median_score,timepoint,final_label,leiden_native_program
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,454,3.511792049488293,3.601450203229608,,,10
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,454,3.1515092146334442,3.2236363297876403,,,10
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,454,0.9695791440177898,0.9809412303505779,,,10
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,454,0.49339522045376083,0.47801001622055345,,,10
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,361,3.3655023486908893,3.403459753316214,,,11
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,361,1.0335601105720411,1.0293907097407748,,,11
leiden_native_program,,ion_water_balance,Ion / water balance,361,1.2657932784443156,1.2979227829058535,,,11
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,361,0.5675124761053961,0.554354989528656,,,11
leiden_native_program,,nutrient_transport,Nutrient transport,361,1.3538161285763466,1.3441947083161876,,,11
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,361,2.6998228024959836,2.703779804706574,,,11
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,361,2.625197604002979,2.5536868240312396,,,11
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,361,1.1917910916390215,1.1536918785740258,,,11
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,361,1.2358510818271597,1.2293216705322267,,,11
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,260,3.2084745867920117,3.2476496180420353,,,12
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,260,1.412031455212507,1.1659456103530332,,,12
leiden_native_program,,ion_water_balance,Ion / water balance,260,1.197294325823844,1.2272586683239337,,,12
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,260,0.7438263135039034,0.7006272045441708,,,12
leiden_native_program,,nutrient_transport,Nutrient transport,260,1.0810181487846544,1.010460358941275,,,12
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,260,3.2076384979140125,3.332582553262455,,,12
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,260,1.1946244386975922,0.963315739537872,,,12
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,260,0.8581540990859394,0.888315027411188,,,12
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,260,1.5349171929095335,1.5264283340180689,,,12
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,197,2.6003729321559543,2.6094441159345414,,,13
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,197,1.3604438423439302,1.2967980802059171,,,13
leiden_native_program,,ion_water_balance,Ion / water balance,197,1.9152092059072243,1.9178132909418182,,,13
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,197,1.1135563218553606,1.1165197848383215,,,13
leiden_native_program,,nutrient_transport,Nutrient transport,197,1.882921552490824,1.8753475348154702,,,13
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,197,2.4599663957592846,2.3906044538070583,,,13
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,197,2.3993374127303677,2.4143698913864586,,,13
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,197,1.8805407887233612,1.8887451708316805,,,13
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,197,2.458142577782083,2.4940028190612793,,,13
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,80,2.321769629639261,2.318780806772038,,,14
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,80,0.9399602322646015,0.7778234162500925,,,14
leiden_native_program,,ion_water_balance,Ion / water balance,80,1.224920493874344,1.2076444211521902,,,14
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,80,1.153646299574206,1.1201476492427354,,,14
leiden_native_program,,nutrient_transport,Nutrient transport,80,0.9708580302379047,0.9859182644094955,,,14
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,80,2.140323024945134,2.1891630554769215,,,14
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,80,2.077383594226153,2.16327349848218,,,14
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,80,1.1688709449493637,1.2002567420877381,,,14
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,80,1.6240148054371044,1.591007106057711,,,14
